epoch,loss
1,"[22381.8232421875, 20947.71142578125, 18851.304443359375, 17781.16455078125, 16212.0546875, 15800.413330078125, 13945.864868164062, 13286.528442382812, 13749.510986328125, 11547.069213867188, 13176.771484375, 12111.080810546875, 9981.5302734375, 16732.411865234375, 7756.9627685546875, 13438.825927734375, 9619.678466796875, 10474.3779296875, 12889.01904296875, 13498.4521484375, 6596.578552246094, 5927.715087890625, 9566.891479492188, 9738.257507324219, 16223.762329101562, 9333.720581054688, 17012.565673828125, 12687.6552734375, 12085.051391601562, 12423.972290039062, 6987.484558105469, 5942.833740234375, 13664.67578125, 9504.493530273438, 8440.188598632812, 16651.0634765625, 7023.31396484375, 10795.669250488281, 7125.9385986328125, 7257.216552734375, 7346.301513671875, 6951.064697265625, 6629.8642578125, 12023.307373046875, 7065.9541015625, 9767.417236328125, 13100.716064453125, 7050.1092529296875, 7643.183349609375, 4675.0286865234375, 7214.9293212890625, 16170.162109375, 9512.982055664062, 12608.2294921875, 9963.642456054688, 14967.751831054688, 10973.859619140625, 10293.136108398438, 6961.302185058594, 6274.2572021484375, 7887.548583984375, 7758.6844482421875, 11185.962280273438, 9891.534301757812, 15543.837219238281, 9035.225402832031, 5002.264831542969, 7522.164855957031, 10105.919799804688, 7438.0369873046875, 12016.363342285156, 8854.569763183594, 5804.1226806640625, 5724.789123535156, 4206.279113769531, 6122.231994628906, 14138.168640136719, 7737.0048828125, 15684.382263183594, 14680.96435546875, 4652.166015625, 9514.806518554688, 8077.1988525390625, 8212.307434082031, 5706.6630859375, 11665.8623046875, 5185.472595214844, 13070.270751953125, 14245.662475585938, 4823.859130859375, 13415.864501953125, 7590.727966308594, 8238.712524414062, 10891.8134765625, 9922.283081054688, 5676.1378173828125, 11545.111022949219, 8087.905029296875, 7791.1417236328125, 3892.9571533203125]"
0,"[22046.74560546875, 18874.2646484375, 16613.44921875, 16603.715576171875, 14399.8359375, 12193.99267578125, 12801.791870117188, 10980.761962890625, 15610.1328125, 8941.100219726562, 14306.0859375, 11750.903076171875, 9229.888916015625, 14262.280395507812, 15012.1298828125, 7911.8758544921875, 10468.455078125, 6384.86376953125, 13421.818481445312, 7680.2333984375, 8287.35693359375, 10234.690307617188, 6705.5269775390625, 12894.43994140625, 14774.711059570312, 13215.836181640625, 16901.2197265625, 14936.803466796875, 8460.933471679688, 8957.75634765625, 10836.569580078125, 6600.2701416015625, 10568.613037109375, 8948.144592285156, 11800.451049804688, 7721.2568359375, 5174.532409667969, 18538.903564453125, 6309.81591796875, 13253.154541015625, 9983.158752441406, 14826.967163085938, 11012.045043945312, 11992.65673828125, 9104.227416992188, 10869.626098632812, 11423.023193359375, 9652.495849609375, 12951.802368164062, 6238.9957275390625, 6954.86669921875, 9631.388549804688, 16945.780822753906, 8799.357177734375, 10214.478759765625, 11992.880737304688, 6803.15576171875, 11361.54345703125, 12500.948974609375, 6244.482604980469, 7586.3935546875, 8568.481567382812, 5582.0037841796875, 3935.1456909179688, 5810.9544677734375, 14322.829223632812, 6901.7017822265625, 5414.086608886719, 5528.500457763672, 7830.088134765625, 7289.3304443359375, 10254.576354980469, 12829.647216796875, 10298.661254882812, 7885.242370605469, 10514.599365234375, 10971.211547851562, 9703.133666992188, 8112.549011230469, 12190.56005859375, 8771.161376953125, 5482.538391113281, 12326.068908691406, 4064.9754943847656, 5653.86669921875, 5804.248596191406, 13120.524169921875, 7703.5355224609375, 12019.704345703125, 5313.749694824219, 11029.593994140625, 12700.447387695312, 7136.609375, 7170.8912353515625, 4251.716735839844, 9059.567016601562, 4754.268585205078, 6272.353820800781, 2823.1239624023438, 2879.973876953125]"
2,"[23305.3203125, 21494.139892578125, 20521.140625, 17905.697265625, 16254.598388671875, 15903.269775390625, 14984.63671875, 12294.975830078125, 16194.5712890625, 14038.766967773438, 17033.756103515625, 14018.3369140625, 15473.23876953125, 11862.67431640625, 13592.663696289062, 10019.078735351562, 13158.707885742188, 10619.92822265625, 7455.6109619140625, 13546.0517578125, 12111.27978515625, 13628.283081054688, 12999.633544921875, 10649.025756835938, 9422.789306640625, 16784.259521484375, 11601.242736816406, 10470.697631835938, 8568.889770507812, 13704.354736328125, 9750.340454101562, 9166.975463867188, 8536.91259765625, 5921.527587890625, 9888.534057617188, 16854.89892578125, 14523.208557128906, 13023.822265625, 8899.968627929688, 11378.756591796875, 10690.217834472656, 5407.8018798828125, 12878.081848144531, 10558.541625976562, 12589.130493164062, 5384.4022216796875, 7918.9515380859375, 11162.272216796875, 7959.8505859375, 6647.507080078125, 10620.841552734375, 9935.59912109375, 9369.548950195312, 8419.386596679688, 6946.403564453125, 10246.56298828125, 7859.614807128906, 9438.787719726562, 12179.191040039062, 14008.276733398438, 12895.35986328125, 10677.298278808594, 11252.777099609375, 7046.921875, 14930.1494140625, 9241.8349609375, 9157.5166015625, 5178.07080078125, 7276.2318115234375, 8694.153503417969, 3731.8507080078125, 6457.639221191406, 6505.390197753906, 14540.152282714844, 3980.3013305664062, 7858.701721191406, 9605.913940429688, 6795.9835205078125, 10494.821899414062, 11698.185424804688, 6572.129150390625, 12073.346069335938, 6469.410217285156, 11191.952514648438, 9528.392761230469, 11710.792724609375, 5775.844970703125, 9399.145629882812, 3790.7948608398438, 5532.217834472656, 9647.817810058594, 9323.213134765625, 5281.6956787109375, 4840.255432128906, 4603.15478515625, 15360.10205078125, 3980.1339111328125, 15512.637573242188, 8255.472412109375, 7175.700408935547]"
5,"[22910.10546875, 19550.203369140625, 18875.91748046875, 15679.52001953125, 20815.55078125, 19805.631591796875, 16409.122802734375, 11455.98779296875, 12466.6875, 16315.990844726562, 16193.828369140625, 11779.10791015625, 17206.2041015625, 11824.976684570312, 13043.75537109375, 19314.925048828125, 10857.02587890625, 12039.201416015625, 12962.136474609375, 11553.982421875, 9437.799560546875, 8541.893432617188, 11090.028198242188, 11877.362670898438, 8123.5615234375, 7037.2264404296875, 9870.030151367188, 7365.8441162109375, 10227.22509765625, 6499.1639404296875, 16059.187133789062, 11912.6328125, 11919.90478515625, 7954.730224609375, 8151.1285400390625, 7881.389892578125, 8061.92626953125, 16273.271850585938, 11434.982971191406, 7887.097900390625, 11994.186889648438, 10294.9794921875, 12918.412475585938, 13943.364501953125, 7011.70654296875, 8180.4212646484375, 7503.929992675781, 6004.437255859375, 15596.26416015625, 13791.212707519531, 8467.178527832031, 10161.73291015625, 10453.394897460938, 13372.2763671875, 11258.0517578125, 7803.452575683594, 8581.335815429688, 10796.950561523438, 7768.930847167969, 7765.7059326171875, 4484.9739990234375, 4131.0810546875, 7411.3328857421875, 9280.345703125, 6646.1346435546875, 7651.779113769531, 4465.042419433594, 9180.8583984375, 9267.584045410156, 8040.248840332031, 7075.1978759765625, 10372.8203125, 5669.100646972656, 6749.054107666016, 5849.987548828125, 6584.540771484375, 4858.043701171875, 8332.53125, 7389.413848876953, 6110.11865234375, 11932.0966796875, 6679.8843994140625, 3482.6956176757812, 11236.779052734375, 10760.352233886719, 5358.685119628906, 11955.38037109375, 15071.085571289062, 6382.4302978515625, 5657.902099609375, 7123.160583496094, 12132.764770507812, 10697.151245117188, 7106.3416748046875, 4114.3349609375, 11054.428466796875, 4168.850860595703, 13764.17822265625, 6336.1119384765625, 9920.214904785156]"
3,"[21950.2080078125, 20626.0, 17897.5634765625, 17297.9755859375, 18020.747802734375, 16573.929443359375, 15016.87158203125, 17414.350341796875, 16484.73291015625, 13326.093505859375, 17402.22119140625, 12993.298583984375, 15020.649169921875, 16140.359130859375, 12660.8701171875, 12038.4697265625, 11148.388671875, 17705.21630859375, 9282.014282226562, 9036.20068359375, 11788.89208984375, 8369.751708984375, 13873.638916015625, 14760.61865234375, 14425.386474609375, 6777.259765625, 11711.79931640625, 10895.856323242188, 6842.2081298828125, 12258.344970703125, 9656.210327148438, 10660.786743164062, 16094.183349609375, 10934.47900390625, 9149.017944335938, 10371.884643554688, 16309.794189453125, 8337.404541015625, 6381.6304931640625, 8481.903564453125, 12322.22509765625, 8938.593017578125, 9888.15625, 8052.264709472656, 9627.613037109375, 9629.35302734375, 7072.7840576171875, 10620.151062011719, 6310.0325927734375, 16179.481201171875, 12213.538696289062, 7818.697998046875, 9385.984497070312, 12407.688171386719, 8274.544555664062, 8565.225463867188, 11320.617431640625, 11894.13671875, 6681.860107421875, 5266.615905761719, 6265.893249511719, 11912.482543945312, 5068.6414794921875, 10727.459899902344, 8109.216979980469, 8273.056030273438, 13815.3330078125, 17214.43115234375, 9890.17626953125, 12905.673706054688, 6786.97900390625, 9952.897094726562, 6673.8206787109375, 7402.360412597656, 5670.280944824219, 5588.3665771484375, 3571.6332397460938, 6608.893371582031, 11275.281127929688, 9469.21044921875, 13631.279052734375, 6429.1015625, 9227.33740234375, 9971.04037475586, 11524.088134765625, 9063.564453125, 3491.6318359375, 6302.1466064453125, 6496.246337890625, 4718.682189941406, 7719.53466796875, 8956.679321289062, 15039.253173828125, 13572.84326171875, 10058.985961914062, 9269.212768554688, 5692.749084472656, 6518.7548828125, 5017.6064453125, 8594.491333007812]"
4,"[22630.4072265625, 20057.5732421875, 17050.32568359375, 18554.44677734375, 16262.420166015625, 17015.652099609375, 16972.96630859375, 13530.232666015625, 17969.626953125, 13885.884521484375, 13965.623291015625, 16890.148681640625, 13431.5625, 14594.624755859375, 14826.972900390625, 10334.9365234375, 14259.2783203125, 8543.889282226562, 10367.166748046875, 16264.4404296875, 13559.1708984375, 9079.624145507812, 10263.032836914062, 9062.742309570312, 6282.842102050781, 11382.360412597656, 12018.1875, 15652.55908203125, 10636.53271484375, 9282.80908203125, 11260.1796875, 11700.939208984375, 9328.423583984375, 6023.427490234375, 8791.929077148438, 15292.011962890625, 8683.848266601562, 10399.316223144531, 10940.63720703125, 6739.5797119140625, 10315.271362304688, 9688.638427734375, 7446.568603515625, 10832.027709960938, 17357.32861328125, 8392.563598632812, 12893.0478515625, 15156.552124023438, 7148.0069580078125, 5380.6622314453125, 11573.349609375, 9912.885375976562, 7332.5494384765625, 10534.580749511719, 7695.9871826171875, 8856.683166503906, 8447.326538085938, 8740.576538085938, 11424.269714355469, 7543.353515625, 8162.4854736328125, 9199.212524414062, 5698.83544921875, 6618.745300292969, 5690.226135253906, 14975.152954101562, 10871.866455078125, 10630.659423828125, 14140.077209472656, 13886.727600097656, 8410.788757324219, 9841.18896484375, 9245.0771484375, 11554.729064941406, 14445.40869140625, 8685.028869628906, 7311.599609375, 13138.3125, 8918.44580078125, 9266.061767578125, 8507.502685546875, 10402.1123046875, 9756.4609375, 10480.262451171875, 4129.798095703125, 7519.746276855469, 9836.39794921875, 6564.06103515625, 9973.657348632812, 9613.105895996094, 8836.884765625, 8197.35888671875, 7688.528259277344, 11672.962158203125, 10327.337280273438, 10100.7119140625, 6799.4857177734375, 11136.1640625, 11964.322387695312, 13453.023193359375]"
