epoch,loss
4,"[16058.784725982365, 11831.383525584004, 12718.07183294013, 11476.972916102646, 11750.174048093286, 10239.939665841584, 8907.530897083849, 10539.02640707186, 10098.786622302367, 9075.259430838103, 9521.86604777421, 8698.214508963103, 8773.658442431157, 8892.01961827042, 9558.786183574412, 8991.082922000696, 8757.164541112314, 9675.706800404161, 8950.594608722347, 9762.344640750696, 8574.210431693804, 8804.749036127978, 8392.783676298539, 8556.019641234143, 9143.401137550278, 8285.50704623685, 9489.983808158648, 8970.637665097076, 8632.812872254022, 9132.26178220239, 9397.026869972153, 9004.378388961943, 8507.963404287206, 9204.05633847076, 9019.237751271465, 9624.999592696086, 8021.491288288985, 7754.12835451636, 8810.743500058014, 7837.920796913676, 8968.442323590269, 9174.840037733022, 8436.233119246983, 9841.208222946318, 9578.226969803914, 9172.768442286124, 9120.728770643178, 8346.232345127823, 8941.2978515625, 7775.32621538521, 8855.220823382388, 8179.762280152576, 7496.719365790339, 9607.118058308517, 8637.362020662515, 8018.211122418395, 10022.361594020731, 8436.103599623879, 8576.925427125232, 8084.542441793007, 7815.380666600596, 8345.071346471805, 7046.821714495668, 8754.855960657102, 9204.455287820041, 8716.130903489518, 7352.318758218596, 8553.881035833076, 7537.830751324645, 8455.001548842629, 8509.97092188467, 8661.514608855296, 8757.495460434715, 8499.510892660312, 8149.891539923035, 8091.641297595335, 7820.2046254979505, 8409.886388193263, 8080.2914078212025, 8773.77392155109, 7799.69191024327, 8378.92651185895, 8500.746787798287, 8361.167858765857, 9968.358856503326, 8100.22239821028, 7800.154484814937, 8305.139359578048, 8510.822081915223, 7292.83779151841, 7936.861346254254, 7080.136759238668, 8196.028036287515, 8753.95035847579, 8119.711026333346, 8925.902338915532, 8539.124636206296, 7487.075721060875, 7914.038052700534, 7752.684783029084]"
5,"[15762.168966313844, 11720.769405241936, 10498.237703713037, 10265.389540805612, 8640.531838037634, 8749.266826014366, 8391.586641045027, 9383.814081663726, 7038.539205571657, 7118.356071226059, 8243.39614704091, 8044.614975795951, 7600.270324050739, 7603.330939180108, 7805.098099903394, 7644.843108146421, 7628.094880134829, 7101.114098989835, 8149.769117786038, 7257.145043814054, 7136.613883069766, 8310.308207850303, 7034.220489173807, 7607.8819343813, 6622.600303731939, 7821.1364339192705, 7000.09360561576, 7297.76953781292, 6524.950022707703, 7407.426394883022, 7162.26517609627, 6478.033781974546, 7453.596698063676, 8678.29582952684, 7206.354612945229, 6346.011972078713, 5729.348328949302, 7098.011113648774, 5968.282591460854, 6687.23959514659, 7156.698920793431, 6913.638099588374, 8462.183668567288, 6914.382981823337, 6151.240842101394, 6789.735778808594, 6389.84443516885, 7551.245385610929, 6197.198290753108, 7029.277751307333, 6823.320122831611, 6885.4447126491095, 6567.222236223119, 5902.616834414903, 6909.3040896179855, 6902.441326182376, 6606.399913500714, 5964.448100428427, 6677.033821352066, 5953.688682638189, 5923.952538931241, 6001.979599819389, 6315.768788983745, 6753.62299109018, 6064.757256620674, 6340.371118032804, 6246.661145282048, 5397.508577080183, 6396.352844238281, 6491.392161379578, 5773.536972209971, 6488.64596327915, 4927.974484023228, 6688.36922594296, 6551.126021846648, 5397.86655483451, 7140.499256421161, 5902.469852570564, 5863.214004352529, 5768.443596296413, 6365.7428812006465, 5671.073996267011, 5886.745394142725, 6754.479082004998, 6773.775278399067, 6110.31743531586, 6970.452256725681, 6274.757818406628, 5705.160465363533, 6099.635650962911, 5239.718272219422, 6467.7129070323, 5752.864610897597, 4860.436917212702, 5697.330613659275, 5817.880325809602, 5709.451435704385, 5738.685152443506, 5667.773633731309, 6388.497343329973]"
0,"[12074.704531830135, 6713.279009224165, 6392.820441822014, 6440.495334738552, 5367.269391050433, 5042.527123781714, 5560.565885940401, 5325.030408802599, 5376.910089776067, 3969.2304324914912, 4197.684898452004, 4046.0156957040917, 4797.107038743425, 3630.2423071530784, 4235.217103863707, 5022.2243597955985, 4750.5506398418165, 4360.586932191754, 3837.999883368464, 5051.519921028968, 5351.38931908938, 5052.855905967183, 4345.686096191406, 4309.658889015122, 4702.941039434754, 4589.181380772355, 4648.73861059812, 3880.4004697894106, 4943.594546478574, 4100.403597085783, 4206.814135258741, 4032.421555925124, 4420.857631570042, 3984.484543299911, 4775.679613774366, 4034.058481348623, 5174.251840119315, 4534.150162498549, 4286.696716308594, 3764.271574416963, 4596.3450148176435, 3917.4136352539062, 4101.652605415571, 4322.850864523708, 5211.119721969755, 3852.2049107315515, 4714.330313805306, 4072.1820624323173, 3946.8006047919243, 3238.540706823368, 4534.940581368928, 4347.544126605043, 4409.183168316832, 4309.73838458675, 3938.7043070273826, 4540.563664502437, 4142.121126684812, 4339.59549282565, 4942.442008141244, 4553.648297904741, 4150.01540684464, 4441.260307689705, 3842.842014426052, 4601.041522035504, 4101.030176143835, 4190.771379829634, 3797.248610090501, 4092.2934757648127, 4653.757207587214, 4076.7928400322944, 3782.9120386709083, 4347.466605913521, 3914.330699354115, 4900.867845591933, 4645.893158865447, 4604.324676211518, 4374.299839133083, 4740.330249144299, 4611.173835376701, 3967.410028740911, 4299.006270304765, 4304.897477253829, 4957.865668872795, 4815.513995784344, 3891.1095701916383, 3815.8803251663057, 4258.312684314085, 4055.7223123984763, 3832.7521283744586, 4263.170651275333, 4610.610444021697, 4123.677275704866, 3752.908994164797, 3654.4194299678993, 4275.163608060025, 4454.511384567411, 4352.562225039643, 4777.585310832109, 3867.8337396300667, 4597.692293979154]"
1,"[13756.350262028156, 9095.214544012995, 6692.631589379641, 7959.007527266399, 7088.8772740128015, 6875.563001576036, 7351.5225938853655, 6764.785284363397, 6795.097027769183, 6763.701939346766, 6090.677345804649, 6718.224370068843, 6819.3273526937655, 5913.193292296759, 5878.169432082979, 5813.6737731329285, 7469.549575654587, 5954.340660775062, 6402.3809965530245, 7011.741763879757, 6059.636640794206, 5877.726350387724, 5846.768625391592, 6119.756926583772, 5429.635860631962, 6081.648284005647, 5963.954635166886, 5727.5608266698255, 5597.512248124226, 6947.624592091777, 5940.568448208346, 6209.376951916383, 5562.757429972734, 5918.650391229308, 5594.585688524907, 7013.648201215386, 5148.571699992265, 5869.992718082844, 6017.717604231127, 5909.998907410272, 5757.076173083617, 9787.226686987546, 22894.148292465965, 22918.9940052599, 22926.63743425124, 22897.85260674505, 22907.99145266089, 22922.064578821162, 22897.47538288985, 22912.48182240099, 22887.066212871287, 22907.09363397277, 22900.19217976485, 22922.768699721535, 22869.593073174507, 22908.436243038366, 22907.974106590347, 22918.668974319306, 22923.499700262993, 22914.91814279084, 22915.698831992573, 22859.615089340965, 22898.188582920793, 22909.92434057859, 22919.808922493812, 22938.55561571782, 22894.84956103032, 22915.43570157797, 22923.42761834777, 22881.77030476485, 22919.22354579208, 22896.49655785891, 22919.189356435643, 22935.053140470296, 22928.487343363242, 22936.282129873143, 22884.60020884901, 22930.655244430694, 22932.82219794245, 22884.96670985458, 22889.36898592203, 22960.14539178527, 22921.227394028465, 22946.412090037127, 22904.959429146038, 22924.31984839109, 22906.310102103962, 22900.10788598391, 22895.260751856436, 22923.324006033417, 22916.968189201732, 22877.224241955446, 22904.29030012376, 22952.299176206685, 22921.342009591583, 22907.11179223391, 22957.680016243812, 22942.74877204517, 22908.471621673885, 22924.26007503094]"
3,"[15530.819161896658, 11158.296014464728, 10241.648099087253, 10331.954333616955, 8549.680668896968, 10150.159933864481, 10474.309346718363, 9671.645505395267, 9466.26062253442, 9209.051512463258, 8171.546333539604, 8988.095217260983, 9138.632432994276, 7252.738821501779, 8471.889961469291, 8348.548492733795, 7299.578983420192, 8975.670153929455, 10130.924382880183, 8304.60659638962, 8529.073196260055, 8707.269194650178, 7437.621282294245, 8257.288430997642, 9956.117710831142, 7836.391162834545, 11014.633714732558, 7159.804546696125, 8788.751737386874, 8518.8563026957, 7448.192089722888, 7934.124574566832, 9066.602452646388, 6604.595542378945, 9048.596622882504, 6985.567213606127, 7535.9047754873145, 7886.740800007735, 9533.329299171372, 7770.66637277131, 8648.735269980856, 7836.365033744585, 8017.4969742274525, 9272.91096602336, 8593.205296280361, 7240.584786896658, 6996.115807259437, 8365.332739499536, 8412.131189327429, 9006.073078419902, 8142.170291711788, 7563.968620073677, 7633.59388113494, 7925.470733340424, 7148.352780181583, 8514.074986221767, 7952.385330049118, 8139.329357184986, 7213.879739591391, 7551.472420569694, 6385.265093812848, 7681.036004699103, 7794.2928660175585, 6686.250907067025, 7589.274904760984, 7679.288223719833, 8143.030728481784, 7143.572753301942, 7162.0861762018485, 6988.953621741569, 7913.09483201433, 7097.056456310915, 8890.313938858486, 8792.217878587175, 8145.905109669902, 7484.822479550201, 6708.951379152808, 7419.9134630259905, 7965.19140625, 7919.942608823871, 8603.220246872099, 7108.048402087523, 7335.851569751701, 7770.99547433381, 7290.535158667234, 8108.9715576171875, 8132.067530263768, 6762.50096447633, 7726.961979932124, 6192.151479588877, 6647.168907241066, 6789.602984437848, 6484.189902730507, 6793.0727031443375, 7306.365779763401, 7753.296305137105, 7469.990657088781, 7788.654117395382, 6642.872914531444, 7042.120490045831]"
2,"[14443.644734297648, 11099.670574528156, 11275.691200785117, 9909.83288936804, 9052.395732615254, 8066.585151898979, 7667.946678841468, 8529.07193204672, 8628.212045801749, 8266.101079053218, 8710.28974536858, 7840.962111067064, 8324.831738764697, 7324.314051864171, 7735.2805272470605, 7636.630963920366, 7003.97073092319, 8030.4557857702275, 8159.918826868038, 7600.638583645962, 7566.146140523476, 8185.919569563158, 21576.75888091739, 22921.145430461016, 22940.31576810025, 22894.69459699876, 22919.20283493193, 22915.79662360767, 22889.243144724627, 22915.991375309404, 22943.668336169554, 22931.48471341275, 22939.7899036974, 22929.396213644803, 22885.337233137376, 22871.764077970296, 22907.388855584777, 22913.750696163366, 22902.65977916151, 22897.26824528156, 22898.645362778465, 22906.994817450493, 22900.562645034035, 22910.137124845296, 22927.410562345296, 22892.51312074567, 22927.076094523516, 22900.421816986385, 22895.341767868194, 22924.55689201733, 22897.628297107054, 22926.657506961634, 22888.290203434404, 22922.154644956685, 22946.07002243193, 22946.828560102105, 22884.540870590965, 22954.40762298886, 22937.646387685643, 22920.993444461634, 22878.595142326732, 22923.593227877474, 22945.20206141708, 22912.620155863242, 22921.249593904704, 22898.609761757427, 22913.190922803216, 22914.639329362624, 22891.38743425124, 22891.44556389233, 22938.63296720297, 22916.711788366338, 22937.04387762995, 22907.43334235767, 22932.854308477723, 22881.695815284653, 22857.576336246904, 22899.950050278465, 22892.718711324258, 22897.9610728651, 22907.448338876857, 22896.529664294554, 22951.223313737624, 22937.061707147277, 22886.833945699258, 22887.98648282797, 22894.632831837873, 22912.54538598391, 22897.02708268874, 22927.63401144802, 22887.448097153465, 22900.69731396968, 22914.028948793315, 22935.410775061882, 22870.401463876857, 22924.556717976484, 22926.60475324876, 22919.358253403465, 22907.569983756188, 22894.65702351485]"
