epoch,loss
4,"[20226.733543113427, 14516.603624131945, 13255.953540943286, 13723.01634837963, 13876.959906684027, 13653.174913194445, 11715.935366030093, 10855.492766203704, 9745.834581163195, 11173.652877242477, 10530.51478407118, 10990.966507523148, 10617.491418909143, 9382.192455150464, 12545.809841579861, 10623.058268229166, 12795.837845413773, 9965.434027777777, 10739.302291304977, 10682.498779296875, 11011.278899016204, 10891.90267831308, 9459.870632595486, 8382.424605758102, 7376.98376916956, 12342.242919921875, 11577.748494466146, 7287.774314597801, 8672.116265190973, 10006.053688331887, 10222.22695131655, 10760.72277379919, 7756.542923538773, 9616.851508246527, 10436.061256691262, 7449.6261302806715, 11577.866843894675, 10157.166788736979, 8390.613186306424, 11146.119470666956, 8517.770259150753, 10745.956891095197, 9160.331249095776, 9193.266040943286, 10046.226603190104, 9767.532859519675, 8808.414654767072, 11064.613312897858, 9490.169555664062, 7254.765932436342, 9029.541413483796, 9712.480057327835, 8902.8241192853, 9128.250113028067, 8317.719676830151, 7292.992024739583, 8854.353538230613, 8322.927657515915, 8357.231755009403, 7650.148263436777, 9795.303276909723, 8203.342945240161, 6950.884713632089, 10927.997716833044, 9119.945045753762, 10923.935020164206, 9036.574772587528, 7528.795993381076, 9989.336500379773, 9761.908836082175, 7677.057703088831, 10862.191098813657, 10601.919817889178, 12884.563910590277, 8622.86287887008, 9947.090445059317, 10336.930636935764, 8141.011149088542, 9859.96814416956, 7395.015964084201, 8285.710241247107, 10429.94984266493, 9307.840440538195, 8908.644309714988, 12275.03025535301, 9715.139539930555, 8366.969360351562, 8789.25228768808, 8006.224613896123, 8163.365528247975, 7958.009819878473, 8847.096670645255, 8944.970327871817, 8240.619552047165, 7942.684913917824, 7797.485383210359, 11197.849433051215, 10181.04746274595, 9286.317100242331, 7415.3925216109665]"
3,"[19489.377350983796, 15267.447808159723, 15677.71849681713, 13134.484772858796, 11206.266746238425, 12497.904712818286, 12679.450122974536, 11658.773726851852, 10791.563747829861, 9182.622567635995, 11821.396755642361, 11687.108506944445, 11046.97935655382, 10654.373345269098, 9846.33884910301, 12373.338080512152, 11958.242268880209, 10682.586480034723, 8330.54029224537, 11236.15490270544, 9794.888631184896, 10289.29881004051, 9290.264128508392, 7456.96728515625, 11091.723795572916, 10564.060687029803, 8905.097136320892, 10787.40756112558, 9754.24203378183, 8514.28220847801, 7726.049456561053, 10459.394332320602, 8119.084621853299, 9484.271660698785, 9512.827125831887, 7245.017514829283, 11467.480025679977, 6507.715115017361, 9161.239954065393, 9172.950276692709, 10938.135213216146, 8624.41578052662, 10549.842325846354, 6742.388608579283, 7241.8293863932295, 10069.045129846643, 9003.718424479166, 7043.8117268880205, 10746.567328559027, 10884.63909233941, 8453.995542173032, 11780.592741789642, 9291.100025318286, 8630.599686234085, 7585.731712058739, 9256.332135235822, 11374.00841833044, 9228.436310944733, 11153.98454228154, 6855.4826253255205, 6890.988462094908, 8483.874131944445, 8031.338930483217, 7600.727423773871, 8602.141224048755, 9571.306075484665, 12338.75121166088, 7500.8478099681715, 9712.421902126736, 8551.013260452835, 9334.59726743345, 9308.931986490885, 8371.63944724754, 10047.923977322049, 5825.464705855758, 7721.685334382234, 6937.182237413194, 7621.277307581018, 7116.447161639178, 8901.591132269965, 8899.31093569155, 11362.23957881221, 7808.516237612123, 9382.163463451245, 10613.306857638889, 9189.296228479456, 9280.358913845486, 9267.764899359809, 10234.777388961227, 6742.922505696614, 9847.212843153211, 7496.13594337746, 8638.447591145834, 9934.948513454861, 7918.343763563368, 8895.90640371817, 8405.908702709057, 8689.035384566696, 8217.875226056134, 8044.275580512152]"
5,"[19604.78342013889, 14755.220377604166, 13863.141872829861, 13626.19580078125, 10458.307255497684, 11431.90699146412, 9861.34607385706, 10360.515109592014, 8552.173122829861, 11346.64468496817, 9526.877224392361, 10422.139919704861, 8459.203604239005, 7158.938878942419, 7703.423728660301, 7844.509711371527, 8102.897515190973, 9774.98418963397, 7939.185253002025, 9106.730473271122, 9945.805302372684, 6897.144811559607, 8256.18985550492, 8256.170405635128, 8295.354876482928, 6728.584798177083, 7466.970680519386, 8835.220219364872, 10261.725436740451, 7600.015936957465, 9517.239985713253, 8359.313065140335, 7070.326465747975, 9783.09191442419, 7483.622400354456, 8249.799791124133, 9547.671106409143, 8634.649938512732, 7222.718474211516, 6475.89274540654, 6802.701723451967, 5354.301581488715, 6822.58667896412, 7212.256175853588, 6201.567174840857, 7115.026796694155, 6994.10563603154, 6660.6161702473955, 6491.5765380859375, 6088.397406684027, 5974.1779536494505, 7497.606115270544, 5286.5006103515625, 8612.53076171875, 5326.229921694155, 5633.21435546875, 5921.717079445168, 8171.510446053964, 6491.976937753183, 7186.822539152922, 7448.026102701823, 6299.67145453559, 6543.363412362558, 7278.090463143808, 7490.856576425058, 7444.420586480035, 7759.94408275463, 5563.322539152922, 6024.237232349537, 5452.3133544921875, 5924.163131148727, 5837.288275824652, 8453.108836986401, 5002.906656901042, 6180.223551432292, 6527.894540292245, 7706.4361888744215, 6207.661046911169, 7376.984668872975, 6234.665104618779, 7529.428177445023, 6754.489716706453, 8290.115360966434, 4951.79566333912, 6703.396879973235, 5932.430946632668, 5047.32996057581, 6912.530103895399, 7126.204594364873, 6235.171691894531, 7589.292561848958, 4447.797747576678, 6602.671917950665, 9952.093456127026, 5142.906661422165, 6836.7148030598955, 4924.058577926071, 8477.090603298611, 5583.562511302806, 5227.475206163194]"
0,"[19109.3134765625, 11885.107204861111, 10034.528374565973, 10761.992567274305, 7245.391872829861, 9068.886013454861, 8951.705964265046, 7369.299949363426, 8432.916241681134, 9826.037868923611, 7705.495135271991, 6617.512776692708, 5638.413655598958, 5604.91448296441, 6253.588939525463, 8412.46437355324, 6258.825557002315, 7286.407642505787, 6531.933087384259, 6858.270978009259, 5428.102602358217, 6539.327293113426, 7480.0517578125, 5952.344437210648, 6830.028496636285, 6608.759991681134, 4862.65294958044, 7592.007988823785, 4865.321754738136, 5850.18842683015, 8109.292475947627, 5915.862698025174, 5676.2685953776045, 6028.0216380931715, 5952.94758662471, 6252.702279550058, 3932.0804918077256, 4053.3985934787324, 6144.16413031684, 4932.023830837674, 4502.502439145689, 4628.51862250434, 6011.060334382234, 6037.804857042101, 5014.676161024306, 4508.115562156395, 6314.296535915799, 8977.872784649884, 6254.585609718605, 5323.982862684462, 5454.036969220197, 6703.641628689236, 6092.695176866319, 4649.073902271412, 6520.746527777777, 4834.729770236545, 7130.889056170428, 5784.331934045862, 5886.483217592592, 7042.4256591796875, 5633.568592212819, 5485.322672526042, 6360.209547254774, 5447.622061270255, 4549.596284089265, 4932.374283402054, 4845.475294325087, 4910.833059805411, 6351.089515968605, 4478.918848108362, 5761.897809063947, 5011.461502640335, 5150.297008373119, 5608.138861762152, 6145.316293221933, 5123.17131890191, 5816.874256275319, 3402.9149509006074, 5185.702415183739, 4466.9535635489, 5114.031844527633, 2432.406446668837, 3847.727177372685, 5551.565337004485, 6506.579558195891, 4966.561301902489, 6558.378766095197, 4187.44440375434, 4815.26168484158, 4780.6890213577835, 5419.994714807581, 4165.47713442202, 5929.434979474103, 6968.2695877640335, 5184.789822048611, 4332.659699616609, 5222.466778790509, 5917.271034523293, 4209.892754448785, 5898.061939380787]"
1,"[19820.049406828704, 14233.327003761575, 11726.072898582175, 9766.111617476852, 11135.149106626157, 8165.157579210069, 10862.381257233796, 9733.204761646411, 7920.786919487848, 9971.68994140625, 9620.459816261575, 9053.446090133102, 8120.728660300926, 7531.821451822917, 9263.675374348959, 11246.92884657118, 8597.31042932581, 9076.01707175926, 7797.576836480035, 8293.045193142361, 7110.823319046585, 4924.062924985533, 9312.136320891204, 7458.805202907986, 9077.001523618344, 6271.011723271123, 8206.714482060184, 7504.597999855324, 8229.552155671296, 9753.090621383102, 6773.711480034723, 7411.848827220775, 7350.2663167317705, 5955.036643699364, 8128.46802662037, 8040.90620026765, 9822.793637876157, 6285.306667751736, 8243.426088686343, 7369.746658890335, 8253.180885597512, 6489.955625180845, 10243.154455114294, 9504.349107530383, 7353.26971661603, 8215.558078342014, 6993.600111219618, 7524.370510525174, 6323.362349898727, 7766.766757541232, 8012.153532805266, 7399.75634765625, 7868.669438114873, 6426.525639286748, 7330.268893771701, 9251.716701931424, 7391.9615478515625, 7866.030517578125, 7131.372432002315, 8971.527230721933, 7591.4068287037035, 10193.344923231336, 6641.667559588397, 5505.051712601273, 6387.587766294127, 7708.335419831453, 6442.27294921875, 5535.333441840277, 8201.067107024017, 6591.255895543982, 7820.27436433015, 6975.285673918547, 6967.001980251736, 4711.57393165871, 7998.932183159723, 7542.2316487630205, 6952.661236798322, 9920.20184552228, 7657.9432373046875, 7099.910933883102, 7644.012430826823, 6638.144671404803, 7611.474837691696, 5300.9613353587965, 7227.689685962819, 8131.987951208044, 6146.242802372685, 7684.387609411169, 8182.397790979456, 9204.375031647858, 8251.597800925925, 7855.1114185474535, 5891.72672978154, 7533.997194643373, 7232.109384042245, 7417.394739221643, 7328.389415599681, 7261.000506365741, 7065.22624150029, 8333.944304289642]"
2,"[19883.50705295139, 15779.92332175926, 13268.26222511574, 12995.033836082175, 12440.519929108796, 12084.094075520834, 10955.385091145834, 8516.110270182291, 11063.39939597801, 8824.655635127316, 8036.815266927083, 10412.122133608218, 9544.503815827546, 9266.00623010706, 9415.51685474537, 10099.794189453125, 11078.453016493055, 8045.646660698785, 8991.59753870081, 10298.563693576389, 10004.37459762008, 10368.659749348959, 10718.67749927662, 6778.3826904296875, 7850.224627459491, 7666.089459454572, 9257.80159053096, 9623.98875144676, 8291.503761574075, 7161.045676902489, 6743.086439344618, 8733.425555193866, 9242.079413519965, 7619.195335105614, 8464.367228190104, 7224.700412326389, 7187.7225025318285, 8930.314046223959, 7093.7265625, 9593.52488425926, 11952.157434534143, 8734.892406322339, 10565.139756944445, 8484.354401765046, 8817.70849609375, 9322.61410409433, 10393.85535120081, 8229.769458912036, 9327.136406792535, 8386.91490342882, 9848.5340802228, 8886.662095811633, 9201.20638925058, 10112.44701244213, 7275.031525788484, 9346.03761574074, 8016.370786313658, 9934.772176106771, 8205.194462528934, 8874.06273509838, 11509.89436396846, 7300.20598687066, 8386.53118218316, 5665.317414460359, 8786.692025643808, 7875.084951895255, 6844.459364149306, 7235.916517469618, 9009.545792191117, 10355.789428710938, 6960.894205729167, 9074.378815827546, 8117.831687644676, 6954.781078197338, 6161.490125868056, 8472.558600531684, 8080.4364330150465, 9063.785400390625, 6385.452826605902, 18511.41003870081, 23085.163194444445, 23089.16695601852, 22966.975477430555, 22955.90574363426, 23013.824580439814, 23005.297526041668, 22988.05345775463, 22946.505280671296, 23027.10062210648, 22959.269097222223, 22978.34671585648, 22995.375434027777, 23051.139250578704, 22955.910228587964, 22927.41673900463, 22715.262080439814, 22393.58622685185, 23094.626085069445, 22962.416449652777, 22918.449652777777]"
