epoch,loss
4,"[19170.921983506945, 17018.613679108796, 15052.129032841434, 12307.089680989584, 11581.207139756945, 13900.762821903934, 12467.677625868055, 11875.883662471066, 9701.193178530093, 11660.298583984375, 10638.428493923611, 14419.482231987848, 11433.87338143808, 11125.80777090567, 9342.80019350405, 8718.653745298032, 11472.642885561343, 11029.330014829282, 10237.227294921875, 9539.45740198206, 9294.481196650753, 12152.33243362992, 11946.845440899884, 11213.920826099536, 11426.791173864294, 11781.647433810764, 9256.486540617767, 11083.675971137152, 8803.306292498553, 9425.234176070602, 10196.861942997684, 8239.54241265191, 11904.405558268229, 8620.825882523148, 10758.825204354745, 10304.032276294849, 9034.980202003762, 8613.86516655816, 9333.957709418402, 10560.095020435474, 8086.630357530382, 10188.653229890046, 10182.002852828415, 9204.871604636863, 6498.81743254485, 10090.423235857928, 9564.261370623553, 11462.306297019675, 9623.782927336517, 9792.123589409723, 8190.785079390915, 10171.700489185474, 10036.685501663773, 8417.173877857349, 10507.153049045139, 9479.256691261575, 9863.811600296585, 9025.286914966724, 7420.73775906033, 7879.961787471065, 9679.22541865596, 11746.057671440973, 7888.94000922309, 6769.033203125, 8737.420052987558, 9096.518391927084, 8045.858800817419, 7593.967181170428, 8959.997047706887, 6674.136275679977, 6691.499968352141, 10742.971894440827, 10757.934913917825, 10168.03966833044, 9794.192168059173, 8732.99439380787, 7530.236063639323, 9534.66380931713, 10536.696008752893, 10319.706416377316, 9088.982923719617, 10877.023600260416, 8538.690054434317, 9124.431355794271, 8479.260380497684, 8900.752800835504, 10532.041531032986, 8439.750764069733, 9748.445583767361, 9467.528948748553, 9616.329087999133, 7056.166546856915, 8893.144992404514, 6947.57354510272, 9948.131908275464, 9176.06300636574, 7439.930921766493, 6926.315759729456, 10850.427772804544, 11052.460476345486]"
3,"[20541.370551215277, 15774.135452835648, 13817.299406828704, 14032.879611545139, 13936.421676070602, 12067.419270833334, 11477.765498408566, 10541.55519386574, 13573.24681712963, 8626.968759042245, 10921.868200231482, 8546.703197337964, 8304.739076967593, 6785.28308557581, 9681.55687572338, 9543.97630931713, 6989.603488498264, 8077.611834490741, 9292.599066840277, 7944.122368706598, 10161.333690502026, 8948.71875, 9192.15404369213, 9614.756659613715, 5756.49260796441, 7580.6189869068285, 8587.460205078125, 10548.21997974537, 9124.813245985242, 9505.219667787906, 8809.509828920718, 9550.964310257523, 8432.279862015335, 8613.787516276041, 7658.1269124348955, 10350.513106734665, 9007.27476671007, 8582.059583875867, 6961.674967447917, 8155.934597439236, 7574.170803493924, 7650.673990885417, 7163.549144603588, 10169.430288809317, 9157.251898871527, 7475.225925021701, 8663.082718460648, 7945.52880859375, 8474.529595269098, 11258.627066153067, 7600.152429651331, 7872.763717086227, 6456.009770146123, 9147.669071903934, 10017.638106734665, 6163.34521484375, 8945.653519241898, 7213.890832971643, 6803.870162398727, 8750.786227756076, 9149.803177445023, 11269.558842411747, 7514.6041576244215, 8961.237734194156, 10214.035011574075, 10102.660707826968, 7168.6186116536455, 8761.440470377604, 9693.65916160301, 7239.635240342882, 8218.11829969618, 8204.681853117767, 8130.514354564525, 8323.569878472223, 9441.863086841724, 8675.856657805267, 9186.898898654514, 5381.383734809027, 8659.944141529224, 9587.212271231192, 6649.504706488715, 7872.313982928241, 8591.056839554398, 9477.546043113425, 9038.601851851852, 8765.82061541522, 6738.693630642361, 9645.802784107349, 8114.071804470486, 7217.739284939236, 5572.314704047309, 9655.452112268518, 7154.974695276331, 10946.609469943576, 7782.944118923611, 7303.6195068359375, 7638.738294813368, 11061.062689887152, 7004.911232277199, 6776.444688585069]"
5,"[19495.914388020832, 15797.435836226852, 11925.604456018518, 11308.31810619213, 12613.491012008102, 9874.156304253473, 11627.526909722223, 9125.289641203704, 8809.110848885995, 7614.672679759838, 8552.13160083912, 9489.865406177661, 11246.716380931714, 8227.748209635416, 9577.603687427661, 8735.110414858218, 7214.332537615741, 9819.646859628183, 7961.172250253183, 7217.546988028067, 8697.201637550637, 6927.715720847801, 7779.46354618779, 9855.15625, 6105.682481553819, 7347.368439850984, 9637.018247251157, 8994.647221317997, 8359.978646737558, 7929.218858506944, 6310.843207465277, 7713.092972366898, 6921.523057725694, 5947.909862377025, 7738.625311957465, 7558.464387116609, 6653.979555483217, 7134.686781141493, 8576.00887496383, 9151.072690610532, 7188.631754557292, 7383.298294632523, 9563.960914894387, 6919.544863100405, 5197.502418800636, 8498.160246672454, 7480.627785011574, 6493.075249565973, 8096.715060763889, 7528.641212745949, 6324.345603660301, 7009.122459129051, 7590.0039966724535, 8231.621636284723, 5965.275720666956, 5598.0590571650755, 6242.0580557364, 7093.784238462095, 8222.232543945312, 6934.483009620949, 7688.392388237848, 7760.267483181424, 8477.396656177661, 6260.776425962095, 6951.310962818287, 6759.6479085286455, 6990.156948513455, 4967.230432581018, 6309.6893310546875, 6138.268884729456, 5814.057009096498, 6384.984112774884, 4938.159930193866, 5854.287317346643, 8268.912927698206, 7378.278180157697, 7593.067030164931, 6969.193029333044, 5714.095481589989, 6740.946293583623, 7253.032194914641, 6698.163465711806, 6255.6484781901045, 7479.399233217592, 6318.102308485243, 5770.729700159143, 7543.911869755498, 5616.301450376158, 4849.231232819734, 6228.86629457827, 5540.19905146846, 8472.206068250867, 7129.689568413629, 4699.76532208478, 7372.985828540944, 7380.903089735243, 6633.235984519676, 6619.699137369792, 6091.31588406033, 8272.714285391348]"
0,"[18156.09035011574, 10674.188783998843, 9596.494249131945, 8366.570366753473, 6386.379692925348, 6875.961253978588, 7051.109573929398, 5332.109239366319, 6626.967900028935, 4114.647976345486, 5744.773338035301, 4632.347326208044, 5733.7727955005785, 4985.400092230902, 4620.736540617766, 4780.351992006655, 4626.832108109085, 4914.569435402199, 3957.8137478298613, 5537.284690574364, 4762.716046368634, 4226.5733326099535, 4013.1219663266784, 3960.43273473669, 3442.7985410337096, 3838.147436071325, 4842.52768057364, 5770.112110279225, 3473.546314380787, 3568.9977575231483, 5048.971962257668, 5175.801843713831, 4299.826431839554, 4607.744680899161, 2835.137082700376, 3556.05187536169, 3239.5037005389177, 4283.675769947194, 4832.844240541811, 3956.3386004412614, 3632.630958839699, 4496.15377468533, 2651.435791015625, 4161.996351453993, 5584.265059859665, 5157.628745750145, 2702.636171694155, 4719.61418999566, 3349.1632012261284, 5037.244854962384, 4366.840368200232, 5103.865365487558, 4355.321616843895, 3598.5934809932, 2609.2677906177664, 4395.500730161314, 5325.954607928241, 3908.504026059751, 3786.0727561668114, 3362.544347692419, 4940.116084346065, 2895.250113028067, 4892.142150878906, 3237.7824729636864, 4564.887546115451, 4113.862770363136, 2992.0280965169272, 4142.584723578559, 3698.078737612124, 4034.0402447735823, 3378.9556952582466, 4052.733552155671, 4340.422180175781, 2973.535979094329, 3880.981987847222, 4914.702537254051, 3776.245347764757, 3465.114131221065, 4254.7760009765625, 3922.281573260272, 4130.206011736835, 3822.737377025463, 4015.6835123697915, 4487.835838035301, 2926.1902239764177, 2849.0167168511284, 3459.6145471643517, 5112.262742784288, 3908.8964798538773, 2881.739407009549, 4880.961617928964, 4899.225149649161, 5080.066019694011, 1984.1166472258392, 3812.888321487992, 4143.023681640625, 2948.4741956922744, 4284.515190972223, 4876.761854383681, 2973.1198504412614]"
1,"[18588.39677372685, 13861.038863570602, 12575.570149739584, 9856.454011140046, 8605.003707320602, 7625.468948929398, 8415.214011863425, 9051.560998987268, 8533.128978587964, 9037.741518373843, 10636.79994032118, 9301.692183883102, 7564.454146773727, 7441.464789496527, 8329.519250940393, 7427.511366102431, 8123.637487340857, 6222.300817418982, 7297.496120876736, 8292.813535337094, 5550.9986572265625, 9232.83693214699, 7542.24097583912, 6692.849835431134, 6200.080625180845, 7549.42175745081, 8404.604487666378, 5563.1904703776045, 6313.127093279803, 6560.414121274595, 8573.026557074652, 4804.866644965277, 10125.795084635416, 6569.961647316261, 7825.733425564236, 4610.382600007234, 7734.066162109375, 6603.601345486111, 6470.789243344908, 6936.599704318576, 7268.618435329861, 6364.215476707176, 5517.672055844908, 6209.331334997107, 6268.361741807726, 5512.647058557581, 7278.836367006655, 7062.255054615162, 7852.587483723958, 5825.671768753617, 8419.452125831887, 7468.8657475224245, 5329.11994990596, 6290.774685329861, 7983.541422526042, 6467.413180881076, 6786.862811053241, 6764.212131076389, 6809.3521412037035, 7754.0190836588545, 6737.8843677662035, 8482.403984917535, 6204.58002839265, 6851.089109067564, 6847.857048882379, 8018.908763744213, 5935.710236725984, 6711.339956778067, 7315.96907099971, 7533.232835557726, 7998.708478009259, 6620.762396918402, 6346.401525426794, 7210.660513418692, 7631.989108615451, 6777.8837890625, 10326.948974609375, 8324.593230070892, 7304.249597620081, 5905.131906014902, 4300.990948712384, 5740.372124565973, 7643.248001663773, 4513.21078604239, 6304.302029079861, 6618.794356734665, 7436.339554398148, 8802.926561143664, 5479.0553950557005, 5233.894418221933, 7844.234544542101, 9383.991907190393, 6658.225066008391, 3913.203204119647, 6828.397942437066, 4576.4786693431715, 5520.744703504774, 6883.249032479745, 8990.959714536313, 5845.081531665944]"
2,"[19428.52658420139, 14864.792281539352, 11961.212601273148, 12539.663031684027, 12883.845033998843, 10104.916576244214, 10579.788483796296, 10797.687337239584, 11647.935537832755, 9313.82175925926, 9293.89111328125, 8875.250162760416, 9131.145806206598, 9189.459915726273, 11060.44056532118, 8973.691125940393, 10168.56740089699, 8638.421205873843, 6323.716986762152, 6184.119755497685, 10839.286028826678, 7705.35676631221, 8122.612440321181, 7768.982598198785, 7056.819788049768, 6549.742038302951, 7646.582243742766, 8521.78238028067, 8167.946307146991, 7418.723899558739, 9613.688440393518, 8788.206416377316, 9272.796282732928, 4296.914211697049, 7418.476553457755, 8271.520317925348, 8347.89681893808, 5618.636510778357, 6368.931717484085, 7340.042760778357, 5547.7851969401045, 6962.652786820023, 7750.907244646991, 7099.1855875651045, 7116.609587492766, 6269.57878056279, 7532.053032769098, 5105.85172978154, 7502.177300347223, 9351.820185908566, 8684.840594256366, 8881.427734375, 6434.406394675926, 6702.56559696904, 6881.478999385127, 6791.316808629919, 6908.335096571181, 7563.933281792535, 6906.161666304977, 6028.9859935619215, 6812.863579644098, 7210.128978587963, 6712.932318793402, 9241.942577220776, 8371.29426631221, 6722.728931568287, 6316.824245876736, 7482.49624520761, 7337.515091507523, 7005.3045337818285, 6094.90948260272, 5303.408397533275, 6614.442267523871, 6185.611226399739, 6690.889392994069, 6700.219437210648, 6796.0935307255495, 5237.897352430556, 6417.943277994792, 7220.6670826099535, 7433.288637514467, 5745.8417064525465, 7791.0014083297165, 6494.666664406105, 9063.210159866898, 7657.934348777489, 8037.212791160301, 11029.137256763599, 9046.040798611111, 6520.765218098958, 5549.421018247252, 6260.679079408998, 7287.378630461516, 8358.15380859375, 6843.878479003906, 7672.012679488571, 9199.197342484085, 6038.95307526765, 5686.767340766059, 6631.4673348886]"
