epoch,loss
4,"[21261.350390625, 16887.639306640624, 16924.55517578125, 15198.423046875, 15570.453149414063, 14069.6013671875, 13617.437255859375, 11962.39482421875, 11741.987133789062, 9049.618212890626, 12853.8935546875, 10933.0732421875, 15774.46591796875, 13697.43193359375, 11768.234448242187, 10594.209594726562, 10165.040966796874, 12174.908154296874, 12438.39609375, 9535.995434570312, 14000.316552734375, 7637.54912109375, 11807.985485839843, 9546.721630859374, 8324.948291015626, 11154.715161132812, 9626.014379882812, 11478.355615234375, 6589.143627929688, 11877.620727539062, 12067.861889648437, 8991.455224609375, 10893.74775390625, 12521.801220703124, 8754.250439453124, 7618.834344482422, 10388.64228515625, 8523.873388671875, 9338.0462890625, 10032.952526855468, 11129.702490234375, 7754.0751953125, 10986.929736328126, 15291.878173828125, 12128.998095703126, 6780.709008789063, 11768.561254882812, 11367.127563476562, 6499.547021484375, 9813.477587890626, 11846.86640625, 11133.063647460938, 10073.682824707032, 8165.5052734375, 8703.850512695313, 8294.366772460937, 9439.500433349609, 10123.641638183593, 7443.818579101562, 9336.34853515625, 5462.927893066406, 10351.406091308594, 8373.534545898438, 13911.92958984375, 8939.296594238282, 9042.465466308593, 11062.778247070313, 10062.10419921875, 12798.788330078125, 10413.43232421875, 5280.327355957032, 5773.392956542969, 11351.51484375, 8045.84599609375, 9839.14892578125, 9691.728002929687, 11283.655804443359, 9347.413189697265, 10002.625537109376, 12589.871130371093, 11772.393310546875, 7765.461206054688, 8574.250848388672, 10524.414501953124, 9256.836846923828, 5437.112768554687, 10890.708666992188, 5058.714465332031, 8054.250622558594, 9233.339636230468, 8501.302807617187, 5440.869372558594, 7696.538012695312, 9450.124377441407, 9941.392208862304, 5220.746545410157, 7412.733459472656, 12673.099609375, 12320.804052734375, 8103.253414916992]"
5,"[21699.18017578125, 18981.099658203126, 16609.50654296875, 15322.515161132813, 11971.3578125, 14254.983642578125, 13614.032446289062, 13333.112915039062, 15196.809155273437, 11958.47763671875, 11291.237451171875, 14664.051904296875, 14318.484936523437, 14185.833984375, 10905.686083984376, 7956.18232421875, 11766.7349609375, 10241.424133300781, 12434.699853515625, 12285.272607421875, 9236.672436523437, 7698.501708984375, 8179.509985351562, 10263.489892578125, 9887.515771484375, 9349.981994628906, 8253.48232421875, 5562.5919921875, 10744.6951171875, 6784.662841796875, 9440.157592773438, 11436.073583984375, 7752.45498046875, 5528.252233886718, 9400.230578613282, 10282.137255859376, 10373.898803710938, 6746.582446289062, 7997.403466796875, 5954.215966796875, 11255.524536132812, 5694.252368164062, 6661.877709960938, 11904.73134765625, 8363.692163085938, 6209.6671142578125, 11218.02685546875, 8870.388549804688, 5676.430249023438, 13617.931762695312, 10069.232678222656, 8759.108471679687, 8873.366748046876, 6559.165112304688, 9250.663140869141, 6229.119384765625, 6672.286468505859, 5394.790859985352, 5495.947961425782, 8572.776330566407, 6461.125341796875, 4408.71728515625, 7838.025384521485, 7727.327783203125, 9669.549096679688, 7207.091119384766, 9783.845581054688, 10517.861694335938, 7878.007403564453, 10998.608666992188, 8348.419799804688, 6607.280224609375, 7317.2611083984375, 4162.531970214844, 7765.986669921875, 5575.169274902344, 9025.005932617187, 7279.117919921875, 9250.124731445312, 5600.193408203125, 8730.635070800781, 5745.031591796875, 5785.979675292969, 8391.865612792968, 6688.059436035156, 10106.66553955078, 7555.495068359375, 8391.874169921875, 7946.404296875, 7539.983630371094, 7629.329125976563, 6893.097338867187, 7836.9955078125, 4324.509539794922, 8207.171801757813, 5993.946795654297, 10762.45322265625, 7437.230773925781, 11393.671484375, 7925.38720703125]"
0,"[21078.6767578125, 15446.792114257812, 13419.9298828125, 10794.73603515625, 10430.074926757812, 8651.151245117188, 8618.723486328125, 8509.156018066406, 6062.342797851563, 9456.359985351562, 8087.761401367187, 9664.47255859375, 8213.835083007812, 6113.70947265625, 6833.805419921875, 9397.0052734375, 6769.621716308594, 7101.137719726563, 6437.91787109375, 7834.49287109375, 5057.401159667968, 9811.693786621094, 9443.296948242187, 5810.9937744140625, 7317.10849609375, 4384.178857421875, 3445.753173828125, 6179.020068359375, 7183.583740234375, 5736.537445068359, 8384.085607910156, 6108.662841796875, 3900.3337158203126, 5480.852136230469, 3825.944451904297, 3394.5580078125, 4232.055200195313, 5130.169921875, 4796.453967285156, 3476.1368072509767, 4598.032043457031, 3550.227813720703, 3484.4766174316405, 5757.678448486328, 5806.17021484375, 3680.571075439453, 5820.822067260742, 6772.851892089844, 5338.217358398438, 3349.7417724609377, 4570.225146484375, 4488.035247802734, 5840.447253417969, 3986.494519042969, 2832.0325317382812, 4761.31376953125, 5051.867077636719, 6176.088580322265, 6348.286157226563, 8053.182168579102, 3158.551528930664, 3103.6777221679686, 3982.3870483398437, 5072.576031494141, 4452.571826171875, 2471.6482666015627, 4064.2528076171875, 5884.883056640625, 4489.715258789062, 4626.116491699218, 3672.5366943359377, 2855.3742919921874, 5509.724682617188, 3311.2950927734373, 3084.496545410156, 6911.981988525391, 3082.9608825683595, 4641.403283691407, 4000.4446533203127, 6999.822033691406, 4510.195373535156, 2440.7360961914064, 4917.02939453125, 5792.371804809571, 5563.890856933594, 4779.892578125, 5399.47802734375, 5925.496508789062, 4843.954254150391, 4197.366101074219, 7998.212756347656, 4067.57041015625, 4536.942626953125, 3852.9853759765624, 3637.0423889160156, 4866.597863769532, 3500.086181640625, 4298.360595703125, 3639.205322265625, 4675.173510742187]"
1,"[21515.286181640626, 15995.62255859375, 12817.2904296875, 13622.582861328125, 10488.19384765625, 14005.974072265624, 9861.818310546874, 12631.29970703125, 10205.937451171874, 8156.364306640625, 10553.566650390625, 10782.4873046875, 8969.447998046875, 7967.623583984375, 10084.895239257812, 7622.27255859375, 10081.515087890624, 9428.312231445312, 7228.858288574219, 9602.15107421875, 10619.511193847657, 8266.62236328125, 8098.5712890625, 8541.871862792968, 6832.79287109375, 8240.02626953125, 7832.014233398438, 7217.1524658203125, 7964.575146484375, 5226.032629394531, 8644.026086425782, 9351.243591308594, 8474.323901367188, 6475.678442382812, 8484.029693603516, 5793.0953369140625, 5861.089868164063, 5295.580828857422, 7743.81162109375, 6055.180126953125, 5661.151538085937, 5345.235278320312, 6006.692944335938, 9320.981420898437, 4658.063391113281, 7684.2705078125, 4219.318634033203, 9197.2748046875, 6848.468774414063, 5438.822009277344, 5350.58369140625, 5997.5326171875, 5561.365087890625, 8369.048864746093, 5232.276043701172, 3589.2441467285157, 5030.024877929687, 5701.116809082031, 6277.282507324218, 9470.969470214844, 6757.969226074219, 6023.170263671875, 3926.4229125976562, 8325.097985839844, 4115.669262695313, 4662.253796386719, 5071.162329101562, 3737.827978515625, 5364.629284667969, 6319.465808105469, 8609.411660766602, 7605.588537597656, 5822.170629882812, 3294.6326416015627, 5709.6129150390625, 5202.954382324218, 4637.486779785157, 6141.1611328125, 5138.732739257813, 6074.911352539062, 5540.411474609375, 4476.179678344726, 6947.31162109375, 5400.841748046875, 7723.935778808594, 6335.216088867188, 7019.749072265625, 5614.060437011719, 7048.707775878906, 7514.873046875, 5022.397631835937, 6338.9010009765625, 6098.799658203125, 8231.28451538086, 5461.496447753906, 6835.617047119141, 5394.221630859375, 5890.705676269531, 5516.804150390625, 6097.979248046875]"
3,"[22524.81181640625, 18568.7837890625, 16707.65361328125, 14882.90869140625, 13435.76494140625, 13298.569287109374, 10635.57841796875, 11824.86796875, 13730.99169921875, 11940.35546875, 10659.5291015625, 11068.437939453124, 10975.507543945312, 11487.388012695312, 11421.033154296874, 9108.75390625, 10991.270288085938, 11610.62900390625, 6809.025390625, 7193.074548339844, 12504.60164794922, 11382.92626953125, 9027.339428710937, 8030.634594726563, 15515.398742675781, 9766.914990234374, 8828.137377929688, 8320.175366210937, 11650.59482421875, 9370.083959960937, 8005.891247558594, 5820.763232421875, 10350.421569824219, 6101.906591796875, 9996.458447265624, 11764.02841796875, 7708.434875488281, 5376.62578125, 9495.575708007813, 8348.656298828126, 5984.28837890625, 8179.278637695313, 7168.109020996094, 10212.874951171874, 6997.250561523438, 11029.326208496093, 7987.448779296875, 6533.232641601562, 9906.906713867187, 11093.582104492187, 8955.6755859375, 7217.655432128906, 8697.706103515626, 4514.48447265625, 6162.229443359375, 7164.512255859375, 8805.307092285157, 7721.511547851563, 11695.810107421876, 9571.270166015625, 7896.34912109375, 6014.951220703125, 10140.289831542968, 7150.250024414063, 7395.0594482421875, 8621.385668945313, 7929.930944824218, 7249.027319335937, 8992.171923828126, 5595.233972167969, 8036.0098876953125, 9258.345178222657, 6412.152734375, 8483.93916015625, 12338.25284423828, 5907.151306152344, 10184.104711914062, 8713.081298828125, 4644.816271972656, 7059.000872802734, 11776.194201660157, 5004.411840820312, 8804.442260742188, 9061.575317382812, 9533.868212890626, 10129.695544433594, 10480.707250976562, 5364.312231445312, 8004.678125, 7140.3748046875, 6351.427746582031, 3793.3197265625, 6961.037341308594, 6587.452294921875, 10124.079638671876, 7895.543408203125, 10044.54931640625, 4204.120745849609, 5194.0134765625, 5375.016760253906]"
2,"[21668.32119140625, 19638.5666015625, 17852.251953125, 13500.616796875, 13080.271069335937, 11398.575927734375, 12286.738623046875, 12001.466235351563, 11925.01279296875, 9106.65966796875, 13266.909228515626, 9901.0267578125, 10095.625366210938, 7593.364794921875, 12569.829125976563, 9419.110913085937, 10280.357177734375, 7674.528759765625, 14351.70020751953, 8221.211474609376, 9377.5849609375, 7371.888110351562, 6748.348681640625, 8133.904016113282, 7949.7548828125, 7982.34400024414, 7811.4146484375, 11701.42705078125, 9860.12061767578, 9137.51865234375, 13242.424658203125, 11595.922192382812, 9010.173706054688, 10119.042529296876, 7015.787255859375, 12878.56224975586, 8183.784204101563, 8832.692358398437, 6907.971337890625, 8985.920581054688, 6963.486474609375, 7288.237658691406, 7416.508129882813, 7849.998071289063, 8903.240161132813, 4843.301281738281, 12533.283276367187, 6876.570971679687, 8885.75562133789, 4680.1486328125, 5910.991021728516, 6053.257019042969, 5708.967504882812, 7676.203039550781, 5037.4048828125, 4619.0662841796875, 9211.723266601562, 7120.1803527832035, 10454.789453125, 8173.630383300781, 5975.009552001953, 8040.570739746094, 7602.116162109375, 7554.418005371093, 7409.060363769531, 5271.722692871093, 7734.940112304687, 7718.195458984375, 8334.194543457032, 5861.704852294922, 5222.200122070312, 7807.33984375, 5007.174047851562, 2470.7742919921875, 2922.5769775390627, 5332.932995605469, 6200.414202880859, 5312.923626708985, 7593.965270996094, 6878.788110351563, 4987.8669708251955, 6202.451116943359, 5391.496765136719, 8863.125415039063, 6086.8843994140625, 6899.207983398437, 3675.9625732421873, 6465.210583496094, 6020.172155761718, 6501.113977050782, 12361.835241699218, 7758.5283203125, 10116.952673339843, 7466.113372802734, 9670.67130126953, 4033.8459594726564, 6724.300256347657, 6490.150964355469, 5219.204846191406, 7830.890838623047]"
