epoch,loss
2,"[22715.45166015625, 17867.15771484375, 18276.22216796875, 17207.666015625, 13651.532836914062, 11480.728820800781, 17862.462646484375, 14135.041687011719, 11109.634033203125, 10516.142700195312, 10988.919311523438, 12378.853088378906, 12705.051971435547, 9049.499145507812, 9176.025268554688, 13517.446746826172, 13076.934204101562, 9091.604797363281, 10657.989624023438, 13509.845336914062, 16121.768676757812, 12716.561218261719, 13040.617065429688, 8479.1689453125, 10042.029418945312, 9624.182220458984, 12864.136413574219, 9898.889831542969, 10999.836791992188, 11788.181732177734, 6235.769439697266, 11528.641235351562, 9447.833282470703, 8320.754028320312, 17222.79083251953, 9662.383605957031, 7284.550720214844, 10535.732421875, 11056.026336669922, 7461.847229003906, 10373.011352539062, 6415.6220703125, 13272.000061035156, 8731.409484863281, 8172.394775390625, 6170.428680419922, 10075.998748779297, 11386.863372802734, 9038.466064453125, 12747.338317871094, 5938.818145751953, 5666.087585449219, 7531.6478271484375, 7683.856140136719, 6873.416168212891, 4956.952239990234, 12316.061157226562, 8920.189422607422, 7305.769439697266, 5365.6495361328125, 5772.7657470703125, 9896.69302368164, 8116.583236694336, 4898.317657470703, 8552.694732666016, 11699.966430664062, 6974.032302856445, 9526.03677368164, 7585.97021484375, 9240.869323730469, 8767.008270263672, 5703.340591430664, 6251.845428466797, 8322.231155395508, 9784.679443359375, 5356.933044433594, 8563.940673828125, 8461.790557861328, 12175.808654785156, 5633.481376647949, 8386.18766784668, 5372.743713378906, 6929.635040283203, 7342.442779541016, 6293.9794921875, 10737.237426757812, 3433.5904998779297, 10763.30160522461, 9871.272674560547, 6559.249481201172, 7161.726135253906, 7203.979995727539, 3014.613800048828, 9798.893981933594, 5096.973327636719, 8862.258605957031, 7395.8365478515625, 7910.929931640625, 4033.8927459716797, 6538.130798339844]"
3,"[21906.922119140625, 17423.658203125, 16933.829467773438, 12361.0458984375, 13779.186218261719, 15741.915649414062, 11459.931396484375, 10357.30712890625, 14831.410888671875, 9034.640014648438, 11615.22055053711, 9885.612426757812, 11014.062927246094, 7711.912292480469, 9858.132995605469, 12478.162017822266, 9595.734130859375, 11544.709106445312, 14291.405639648438, 9277.110168457031, 10155.993591308594, 13165.132080078125, 10561.429260253906, 10963.459899902344, 9201.873840332031, 11217.593658447266, 9962.543823242188, 7976.7379150390625, 11641.685974121094, 7453.083557128906, 6763.744720458984, 9921.345520019531, 10757.977935791016, 5397.777374267578, 9607.006256103516, 6484.899719238281, 7603.561553955078, 8050.2464599609375, 6805.9696044921875, 13472.279541015625, 10564.62075805664, 10361.017578125, 6029.404052734375, 7505.667053222656, 6356.578552246094, 8043.3636474609375, 8651.643096923828, 8083.600341796875, 8171.573028564453, 9665.445831298828, 6769.159362792969, 7414.251312255859, 7241.278945922852, 6578.196838378906, 6770.360870361328, 11410.690139770508, 8260.309509277344, 8414.559692382812, 7641.6376953125, 12068.145416259766, 9339.934844970703, 7303.380920410156, 5969.55012512207, 6164.486236572266, 9670.52685546875, 5601.650695800781, 6959.3565673828125, 6960.844451904297, 8887.158172607422, 9409.088500976562, 8450.070205688477, 10580.809921264648, 5246.909729003906, 9368.626281738281, 7733.402008056641, 7649.987701416016, 11019.269958496094, 12285.769958496094, 9478.973373413086, 6207.578460693359, 7294.025314331055, 10363.17709350586, 5666.686065673828, 7999.65478515625, 9257.905563354492, 10058.61669921875, 11368.529235839844, 4566.522277832031, 7761.0579833984375, 9684.007568359375, 3478.4017944335938, 11320.955841064453, 10513.779373168945, 7086.471084594727, 6860.717803955078, 7982.387420654297, 6544.418701171875, 4822.827362060547, 5517.552642822266, 7484.726593017578]"
4,"[21502.575439453125, 17421.108154296875, 14987.903442382812, 14283.595703125, 13857.313720703125, 14409.306640625, 13485.140747070312, 9398.755493164062, 13535.397338867188, 14318.528198242188, 12001.995910644531, 14396.203308105469, 9019.530059814453, 12311.799011230469, 9644.4814453125, 9687.2001953125, 9283.168731689453, 7362.218688964844, 11255.01806640625, 9663.486755371094, 9315.512329101562, 7743.7701416015625, 8816.204498291016, 10372.065979003906, 10154.99609375, 10240.044372558594, 9810.268127441406, 8446.282531738281, 7826.306579589844, 10689.404357910156, 11404.524475097656, 13222.708038330078, 7850.351623535156, 7300.675643920898, 6821.672882080078, 8382.261535644531, 9489.569641113281, 8589.617980957031, 7883.612777709961, 7334.0806884765625, 9914.629455566406, 9680.273376464844, 8949.232116699219, 9321.326751708984, 7241.879058837891, 12226.554443359375, 10490.438781738281, 11066.320495605469, 9904.478820800781, 5383.84033203125, 6676.243560791016, 7404.726715087891, 7163.384796142578, 7842.748260498047, 12096.76448059082, 12195.236877441406, 9738.315795898438, 13028.616455078125, 10029.322509765625, 10436.163391113281, 9344.465530395508, 6900.651702880859, 8869.711853027344, 12034.881774902344, 4632.131866455078, 6231.678039550781, 9562.879943847656, 9010.980865478516, 9847.733154296875, 6425.537521362305, 5198.551025390625, 10033.518310546875, 8903.174285888672, 11867.892456054688, 5709.742156982422, 8187.795684814453, 7592.4910888671875, 6849.5306396484375, 10503.908935546875, 6209.601760864258, 9692.85971069336, 9101.331512451172, 3596.506790161133, 6505.701080322266, 8927.890365600586, 5688.7894287109375, 9408.071105957031, 6951.286682128906, 9339.997985839844, 7705.517272949219, 5018.237487792969, 5460.987121582031, 9137.137008666992, 4535.360000610352, 4817.662628173828, 12002.73388671875, 8551.916809082031, 7138.114456176758, 6864.4661865234375, 8765.603958129883]"
0,"[21726.91064453125, 16772.51171875, 15521.781860351562, 11430.264282226562, 12044.150573730469, 11732.067016601562, 10307.750366210938, 10410.636413574219, 8014.117370605469, 12690.717529296875, 7493.593933105469, 9164.342224121094, 11239.898864746094, 8566.399963378906, 6819.764831542969, 8934.996643066406, 7239.273620605469, 7797.539581298828, 10101.864929199219, 8685.274963378906, 8383.891967773438, 10637.419189453125, 5031.443695068359, 7304.882415771484, 6848.726165771484, 6041.109283447266, 6507.341003417969, 4847.724273681641, 6919.746200561523, 10209.847564697266, 4826.598968505859, 4289.068267822266, 9504.62564086914, 4927.576370239258, 8799.562866210938, 5507.820129394531, 6020.879119873047, 4000.113250732422, 5349.852066040039, 3941.2860107421875, 7350.6666259765625, 5062.148880004883, 9211.426574707031, 7037.1885986328125, 6135.7283935546875, 7371.425765991211, 8768.401000976562, 8128.629135131836, 7862.590148925781, 9559.980499267578, 9284.52523803711, 6349.054443359375, 4409.388336181641, 6896.032379150391, 6927.85986328125, 7363.122787475586, 5423.56037902832, 2923.8800659179688, 4103.218215942383, 3937.607452392578, 5011.900253295898, 7570.911056518555, 4551.7904052734375, 3234.804946899414, 13000.689666748047, 5537.403106689453, 3345.1717834472656, 4523.770446777344, 7784.205017089844, 4709.2591552734375, 4694.531692504883, 4578.482437133789, 4169.517761230469, 7646.867324829102, 5436.309906005859, 6227.553771972656, 5962.67692565918, 5713.729782104492, 7946.211456298828, 4349.807388305664, 5227.048797607422, 5794.187194824219, 6338.495574951172, 4689.178421020508, 5513.014099121094, 6777.178482055664, 9355.43815612793, 4945.834182739258, 6010.552886962891, 6768.029388427734, 4335.7882080078125, 6627.325225830078, 3945.218948364258, 5711.679794311523, 4990.600570678711, 5218.017517089844, 8304.076110839844, 5020.970489501953, 3665.4342651367188, 4559.020523071289]"
1,"[21278.599243164062, 17156.5888671875, 13772.242797851562, 15330.863525390625, 11720.2509765625, 12130.298583984375, 10593.467163085938, 9386.932250976562, 7103.110992431641, 8653.223571777344, 8528.061889648438, 7089.669097900391, 9906.782806396484, 11602.157836914062, 8665.464904785156, 7788.286804199219, 7604.5750732421875, 6681.274566650391, 7858.631683349609, 6260.633117675781, 8914.597961425781, 6743.4241943359375, 5247.999176025391, 7271.833709716797, 7727.3409423828125, 6591.319091796875, 7904.4539794921875, 8941.732360839844, 5496.600067138672, 9652.65234375, 7668.839630126953, 7311.6644287109375, 5252.414764404297, 7922.251159667969, 4975.41552734375, 8198.879333496094, 5336.420928955078, 9305.326843261719, 8422.490814208984, 8077.021255493164, 6183.681488037109, 5412.630126953125, 8499.011169433594, 7508.256698608398, 4492.030242919922, 5400.152862548828, 9641.656372070312, 5479.648956298828, 8836.489318847656, 10969.739379882812, 8918.540283203125, 6776.502471923828, 4584.468536376953, 9675.564743041992, 8271.619735717773, 6240.703704833984, 7457.802978515625, 7957.720458984375, 10357.49169921875, 5538.109603881836, 7462.902526855469, 4132.855026245117, 7107.590179443359, 4443.377960205078, 4092.2901916503906, 3875.409210205078, 4603.670379638672, 5068.222015380859, 10864.84683227539, 4312.453201293945, 9272.174896240234, 5718.455307006836, 4673.940093994141, 6000.683776855469, 3140.337417602539, 6287.166595458984, 6225.337371826172, 7107.104766845703, 6831.7672119140625, 5992.651519775391, 3922.6109466552734, 5647.988525390625, 6896.530181884766, 5103.189422607422, 7534.506317138672, 5142.524276733398, 8120.1024169921875, 3415.89599609375, 9859.598571777344, 5926.9071044921875, 8349.774871826172, 6946.87158203125, 6895.225311279297, 7274.278900146484, 7841.089385986328, 4572.894439697266, 2618.191146850586, 5388.620140075684, 8299.162353515625, 6994.135986328125]"
