date,us_equities,us_equities_tech,global_equities,em_equities,us_hy,us_ig,em_debt,cmdty,long_term_treasuries,short_term_treasuries
2018-08-28,453.3128437351171,873.0393736942732,412.38078442233325,562.4523536853638,286.5371453297632,219.56012480998427,340.8118599273224,91.88542216957228,239.73691689971184,135.05316641349324
2018-08-29,455.93651235281925,883.4325214310869,413.9763888960665,562.4500373676549,286.6080845778904,219.64789183134593,340.0355137099455,92.39742584084402,240.22916694391307,135.03221413231364
2018-08-30,453.9908704565458,881.4751789332294,412.29106822779755,555.961350195218,286.5117653055066,219.7490199215932,339.3665345226313,92.17469490557689,240.83037549215328,135.08983290555759
2018-08-31,454.0980879564752,882.8453776023347,411.1805514148666,555.0019859018004,286.36198155579524,219.56468517481343,338.5860588040981,92.3127944888235,240.7594871131897,135.15792781939132
2018-09-01,454.0980879564752,882.8453776023347,411.1805514148666,555.0019859018004,286.36198155579524,219.56468517481343,338.5860588040981,92.3127944888235,240.7594871131897,135.15792781939132
2018-09-02,454.0980879564752,882.8453776023347,411.1805514148666,555.0019859018004,286.36198155579524,219.56468517481343,338.5860588040981,92.3127944888235,240.7594871131897,135.15792781939132
2018-09-03,454.0980879564752,882.8453776023347,410.79492430976006,550.4312779192927,286.435417199751,219.56468517481343,338.5860588040981,92.3127944888235,240.7594871131897,135.15792781939132
2018-09-04,453.38828972485476,879.2199927771334,408.8189998150707,546.805218800052,286.36229360527386,218.48563885110752,336.2776676577486,91.66349165692826,238.38656813744242,135.11602325703208
2018-09-05,452.1209014893684,867.7936112794226,406.92897192703674,537.1864370060367,286.10162827417895,218.62533002640157,336.32722167162376,91.19449736127349,238.257552713576,135.13697553821171
2018-09-06,450.60275660969336,859.8414934138317,405.4058639876263,535.5341530827122,285.9999001441667,219.33698695895615,337.76841757515865,90.90501117923603,239.13677773700744,135.17888010057092
2018-09-07,449.642530795954,857.1984572960089,404.2150349820037,538.0351630653604,285.8587497633623,218.4056324505955,337.4628344895954,91.08153104839363,237.05549207894086,135.02697606201872
2018-09-08,449.642530795954,857.1984572960089,404.2150349820037,538.0351630653604,285.8587497633623,218.4056324505955,337.4628344895954,91.08153104839363,237.05549207894086,135.02697606201872
2018-09-09,449.642530795954,857.1984572960089,404.2150349820037,538.0351630653604,285.8587497633623,218.4056324505955,337.4628344895954,91.08153104839363,237.05549207894086,135.02697606201872
2018-09-10,450.4958795188017,859.20813754506,405.1757306663611,531.8930378983641,286.0820731735222,218.8300664053118,336.66171126528087,91.48088857583478,237.72457096252134,135.03745220260856
2018-09-11,452.21012269816765,866.2033949442944,406.150141570566,527.7894766961407,286.2773121306112,218.3757100568039,335.8977535513727,91.53574420627434,236.21155677819158,134.9536430778901
2018-09-12,452.3769344736424,863.9263776881762,407.1075345089674,528.5853021466135,286.7903214733726,218.9301544123524,336.9920713577817,92.08494084876824,236.94185204266728,134.96411921847994
2018-09-13,454.88547675477093,872.5258704630369,409.087404650543,535.5237296530225,287.1686294578866,219.25018001440054,338.9288074000678,91.26274673027368,237.16421294174958,134.958881148185
2018-09-14,455.0797935804975,870.6577520468433,409.8646214517378,541.2637011895654,287.4010023029249,218.91383310664793,339.5853980839132,90.97902359112288,235.90889690743037,134.91173851553089
2018-09-15,455.0797935804975,870.6577520468433,409.8646214517378,541.2637011895654,287.4010023029249,218.91383310664793,339.5853980839132,90.97902359112288,235.90889690743037,134.91173851553089
2018-09-16,455.0797935804975,870.6577520468433,409.8646214517378,541.2637011895654,287.4010023029249,218.91383310664793,339.5853980839132,90.97902359112288,235.90889690743037,134.91173851553089
2018-09-17,452.5517458615047,857.8762575866502,408.72572875656726,534.9389275585262,287.45176235143816,218.86566925353966,338.92054839775534,90.64279272789376,235.73225818103526,134.92745272641557
2018-09-18,454.995950834495,864.833328338614,410.9638307718347,536.7637771511609,287.67477371211953,217.99415953276196,338.5488932936919,91.30618299795636,233.50109219909223,134.89078623435125
2018-09-19,455.5676337725244,864.3625120698223,412.0108642693684,542.8554883444937,287.55005793718624,217.5396431714531,338.8255698711613,92.00340446422388,231.89805951676908,134.85935781258183
2018-09-20,459.15980014358365,873.4465861858478,415.42465560364377,545.9565268042242,287.4922247671588,218.26842147371727,340.35348529897766,92.58221674377415,232.77436155306924,134.86459588287678
2018-09-21,459.00070430629836,869.0649452368401,416.2527624255413,553.6051441328696,287.5401763703649,218.44619569565504,341.2248100429486,93.16225633801324,233.13994882158292,134.89078623435125
2018-09-22,459.00070430629836,869.0649452368401,416.2527624255413,553.6051441328696,287.5401763703649,218.44619569565504,341.2248100429486,93.16225633801324,233.13994882158292,134.89078623435125
2018-09-23,459.00070430629836,869.0649452368401,416.2527624255413,553.6051441328696,287.5401763703649,218.44619569565504,341.2248100429486,93.16225633801324,233.13994882158292,134.89078623435125
2018-09-24,457.38697256881767,871.1051727719627,414.94443382047115,548.8683084817424,287.4046428801748,218.20449635970812,341.3652130822615,93.67442009380964,232.98612365328543,134.90650044523596
2018-09-25,456.82297152807377,872.7715084335065,415.2050734211768,548.5781556252116,287.3630362830327,217.84062725017935,341.3528245787927,93.93701207570942,232.0981771967063,134.88031009376144
2018-09-26,455.3203606474889,872.759968121908,414.58306046810964,550.8515873929639,287.52103733567964,218.718697495799,342.1993723158261,93.51497590727915,233.75052043429235,134.92745272641557
2018-09-27,456.66328564845617,880.4864607052766,414.5398474408695,553.8588490489813,287.7092031712545,218.92911432914565,343.75206475057996,93.58290510723008,234.06729619412644,134.92745272641557
2018-09-28,456.6793529550388,880.264888754329,413.6617834349134,552.2292854773011,287.9011136005722,218.82918633490607,343.70664023786117,94.08300916217107,233.62780250302583,134.9903095699544
2018-09-29,456.6793529550388,880.264888754329,413.6617834349134,552.2292854773011,287.9011136005722,218.82918633490607,343.70664023786117,94.08300916217107,233.62780250302583,134.9903095699544
2018-09-30,456.6793529550388,880.264888754329,413.6617834349134,552.2292854773011,287.9011136005722,218.82918633490607,343.70664023786117,94.08300916217107,233.62780250302583,134.9903095699544
2018-10-01,458.3452240101378,882.3190845363248,414.4634304714616,551.4348225666571,288.6534648933932,218.74597967837354,343.2028410967974,95.38417617835562,232.3193498896377,134.9850714996595
2018-10-02,458.1795696253915,880.4248581968844,413.6064939549031,544.533558334077,288.8336214590183,219.00136010880803,343.02940204823443,96.25733053719041,233.33678705254357,135.011261851134
2018-10-03,458.50555666692713,881.4809084541287,413.6083848399923,545.507501803662,288.7665308211267,217.2916233298657,342.8394449950465,96.84526763464454,228.99605610614216,134.89602430464615
2018-10-04,454.86732160608983,864.6210414623154,410.243945606547,532.5180689813038,287.2809672701701,216.55988479078258,340.30393128510264,95.87195372490018,227.661581778049,134.84888167199202
2018-10-05,452.3596643884594,854.1174480673153,407.5943491781517,527.4681898045233,286.74507429898057,215.9631970557638,339.3665345226315,95.99884739142279,226.07986551407336,134.8436436016971
2018-10-06,452.3596643884594,854.1174480673153,407.5943491781517,527.4681898045233,286.74507429898057,215.9631970557638,339.3665345226315,95.99884739142279,226.07986551407336,134.8436436016971
2018-10-07,452.3596643884594,854.1174480673153,407.5943491781517,527.4681898045233,286.74507429898057,215.9631970557638,339.3665345226315,95.99884739142279,226.07986551407336,134.8436436016971
2018-10-08,452.18096099059846,848.7854279185001,406.1158283091462,524.7423266866368,286.8925696858491,215.9631970557638,339.3665345226315,96.04516518054878,226.07986551407336,134.8436436016971
2018-10-09,451.67144808983346,850.967857286155,405.22954525600215,523.9625110791519,285.9149186695039,216.4216337306978,338.89577139081786,96.39372255217431,227.1591131609499,134.88031009376144
2018-10-10,436.83153168067685,813.2056517050536,395.883959155369,519.5806511169079,284.71248801209885,215.77886230898406,338.4745622728793,95.46395163312906,226.01719952167406,134.90126237494107
2018-10-11,427.846503210567,803.9163307091535,387.5522026101018,503.349327280023,284.675042074671,216.76158092647344,338.2680872150663,94.95605679798945,229.7136375648031,135.02173799172382
2018-10-12,433.97063200455335,826.2167130327684,391.08209428885857,516.7884323093618,285.3260813034511,216.8874309944789,339.02378592666196,95.30589484581202,229.34731360847587,135.04269027290346
2018-10-13,433.97063200455335,826.2167130327684,391.08209428885857,516.7884323093618,285.3260813034511,216.8874309944789,339.02378592666196,95.30589484581202,229.34731360847587,135.04269027290346
2018-10-14,433.97063200455335,826.2167130327684,391.08209428885857,516.7884323093618,285.3260813034511,216.8874309944789,339.02378592666196,95.30589484581202,229.34731360847587,135.04269027290346
2018-10-15,431.41800675303364,815.9957963195834,389.5109956858823,512.3486644043962,285.49229965903356,216.27586206896484,339.13115295672475,96.30834413903887,228.464927956683,135.01649992142893
2018-10-16,440.7037298731729,839.9792762009901,396.35979408513464,519.2047604416535,286.07375185409364,216.52324185934808,339.77535513710137,96.20407575199717,228.9413748590771,135.01126185113404
2018-10-17,440.6097542848127,840.2332443259587,396.04507517087575,518.7148251827335,285.94924411214606,216.0921673733892,340.16765774694613,95.85210324384622,228.30827485774628,134.9850714996595
2018-10-18,434.31011059095255,821.4698862375059,391.34028834484866,511.96415566472524,285.3172399015584,215.87919033522618,339.2220019821625,94.8029092694277,227.95623313935306,135.02173799172382
2018-10-19,434.1654821377723,820.4471058046325,390.94654303975875,512.2647319509458,285.14332432550464,215.35554844387485,338.47043277172315,95.02921542574492,226.91866776425064,134.958881148185
2018-10-20,434.1654821377723,820.4471058046325,390.94654303975875,512.2647319509458,285.14332432550464,215.35554844387485,338.47043277172315,95.02921542574492,226.91866776425064,134.958881148185
2018-10-21,434.1654821377723,820.4471058046325,390.94654303975875,512.2647319509458,285.14332432550464,215.35554844387485,338.47043277172315,95.02921542574492,226.91866776425064,134.958881148185
2018-10-22,432.30971957443785,824.369694288397,389.26495371806584,518.2718294209136,285.08081041329876,215.36114889191066,338.15246118269107,94.86144684393372,227.10217432219807,134.98507149965948
2018-10-23,429.9487559581501,821.7792498898926,385.57066848964763,506.50776273003925,284.02587514276223,215.22641811344846,337.8468780971278,94.16571949989606,227.80423780852797,135.07411869467285
2018-10-24,416.6786131327302,783.7394571482006,377.00242524921515,502.5795944672707,284.24982265187924,215.94215537242914,337.8551370994403,93.78386454714767,228.5900698284974,135.173642030276
2018-10-25,424.4392697227598,809.972048268154,380.35351483393015,500.48036341662305,283.7116413178469,215.56724537962975,337.72712256359625,93.60291567280869,228.51666245249388,135.1579278193913
