MDD,ACD,SD,KD,dataset,generator
0.012046873569488525,5.6123046875,0.24825556576251984,5.69424295425415,MotionSense_None,cond_diffusion_unet1d_synth
0.009189682081341743,0.9042196869850159,0.2667965888977051,3.343205213546753,MotionSense_None,timeganpt_synth
0.05766916647553444,2.0975308418273926,0.2479024976491928,6.930032253265381,MotionSense_None,Doppelgangerger_synth
0.010805967263877392,4.385040760040283,0.25850367546081543,5.230800151824951,MotionSense_None,uncond_diffusion_unet1d_synth
0.013327866792678833,1.040582537651062,0.24808955192565918,12.407646179199219,dataset_combination_None,cond_diffusion_unet1d_synth
0.024360451847314835,2.0354959964752197,1.272181510925293,9.421032905578613,dataset_combination_None,timeganpt_synth
0.05281173437833786,2.7556352615356445,0.2599780559539795,13.413359642028809,dataset_combination_None,Doppelgangerger_synth
0.009769083932042122,4.556110858917236,0.21936948597431183,11.967616081237793,dataset_combination_None,uncond_diffusion_unet1d_synth
0.009402419440448284,6.152263641357422,0.2032424807548523,7.789623737335205,RealWorld_thigh_None,cond_diffusion_unet1d_synth
0.009203394874930382,1.2698177099227905,0.5631904006004333,5.824687480926514,RealWorld_thigh_None,timeganpt_synth
0.02593575417995453,1.0837088823318481,0.3806668221950531,6.9476637840271,RealWorld_thigh_None,Doppelgangerger_synth
0.007980415597558022,5.1989359855651855,0.1940845251083374,7.491603851318359,RealWorld_thigh_None,uncond_diffusion_unet1d_synth
0.020383397117257118,5.557109355926514,0.24754536151885986,5.49017333984375,RealWorld_waist_None,cond_diffusion_unet1d_synth
0.029328009113669395,1.620120644569397,0.21334512531757355,4.338675498962402,RealWorld_waist_None,timeganpt_synth
0.052473872900009155,0.9811830520629883,0.4893902838230133,3.7139205932617188,RealWorld_waist_None,Doppelgangerger_synth
0.021081240847706795,4.708858489990234,0.22477658092975616,5.760742664337158,RealWorld_waist_None,uncond_diffusion_unet1d_synth
0.04554814100265503,5.230681896209717,0.5343624949455261,4.616137981414795,UCI_None,cond_diffusion_unet1d_synth
0.1030253916978836,1.472866177558899,1.625031590461731,2.14458966255188,UCI_None,timeganpt_synth
0.09889450669288635,1.125872254371643,0.45240962505340576,4.18999719619751,UCI_None,Doppelgangerger_synth
0.03956470265984535,3.2961254119873047,0.5325581431388855,4.369768142700195,UCI_None,uncond_diffusion_unet1d_synth
0.01718347705900669,6.035878658294678,0.5230082869529724,7.21986722946167,RealWorld_upperarm_None,cond_diffusion_unet1d_synth
0.016840720549225807,1.7265125513076782,0.22622378170490265,4.696247100830078,RealWorld_upperarm_None,timeganpt_synth
0.03769287094473839,0.9759208559989929,0.5623981356620789,5.108375549316406,RealWorld_upperarm_None,Doppelgangerger_synth
0.015566650778055191,6.416985988616943,0.5282971858978271,7.16641092300415,RealWorld_upperarm_None,uncond_diffusion_unet1d_synth
0.0088174594566226,6.320605754852295,0.3641258180141449,16.055810928344727,WISDM_None,cond_diffusion_unet1d_synth
0.022640250623226166,2.1717169284820557,4.771920204162598,43.65146255493164,WISDM_None,timeganpt_synth
0.04750916734337807,2.8108158111572266,0.3811344802379608,18.38087272644043,WISDM_None,Doppelgangerger_synth
0.007895766757428646,5.069819927215576,0.36074674129486084,15.552371978759766,WISDM_None,uncond_diffusion_unet1d_synth
0.009672248736023903,3.488511323928833,0.5446324944496155,10.83935546875,KuHar_None,cond_diffusion_unet1d_synth
0.014601885341107845,1.345085620880127,0.5058439373970032,9.990721702575684,KuHar_None,timeganpt_synth
0.07633461803197861,3.5700552463531494,0.8314498066902161,14.182785987854004,KuHar_None,Doppelgangerger_synth
0.009956998750567436,2.5965349674224854,0.6410720944404602,10.153429985046387,KuHar_None,uncond_diffusion_unet1d_synth
